ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
Unit 1E-1F St Andrews Industrial Estate,Devon Place,Glasgow,G41 1RD,Storage/Distribution,Storage or Distribution,1087,7,A+,6.78,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"32,610.00",32.61,0.03
Unit 1C-1D St Andrews Industrial Estate,Devon Place,Glasgow,G41 1RD,Storage/Distribution,Storage or Distribution,1083,7,A+,6.59,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"32,490.00",32.49,0.03
Unit 1A St Andrews Industrial Estate,Devon Place,Glasgow,G41 1RD,General Industrial,General Industrial and Special Industrial Groups,536,38,C,37.94,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"64,320.00",64.32,0.06
Unit 3 St Andrews Industrial Estate,Devon Place,Glasgow,G41 1RD,Storage/Distribution,Storage or Distribution,710,21,B+,20.69,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"21,300.00",21.3,0.02
Unit 1B St Andrews Industrial Estate,Devon Place,Glasgow,G41 1RD,General Industrial,General Industrial and Special Industrial Groups,545,58,D,58.26,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"54,500.00",54.5,0.05
Unit 3 and 4 Kinning Parkway,Maclellan Street,Glasgow,G41 1RR,General Industrial,General Industrial and Special Industrial Groups,888,55,D,54.71,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"88,800.00",88.8,0.09
211 MACLELLAN STREET,,GLASGOW,G41 1RR,General Industrial,General Industrial and Special Industrial Groups,2805,13,A,13.12,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"84,150.00",84.15,0.08
Unit 2,231 Maclellan Street,Glasgow,G41 1RR,General Industrial,General Industrial and Special Industrial Groups,1990,96,F,95.95,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"238,800.00",238.8,0.24
217 MACLELLAN STREET,,GLASGOW,G41 1RR,Office/Workshop,B1 Offices and Workshop businesses,258,49,D+,49.45,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"25,800.00",25.8,0.03
Unit 3 Kinning Parkway,Maclellan Street,Glasgow,G41 1RR,Miscellaneous 24 hr activity,Others: Miscellaneous 24hr activities,1005,1082,G,1081.53,None,Grid supplied,Natural Gas,Air Conditioning,,"120,600.00",120.6,0.12
Unit 1D Milnpark Trading Estate,,GLASGOW,G41 1SB,Office/Workshop,Offices and Workshop businesses,185,68,E+,67.81,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"22,200.00",22.2,0.02
Unit 3C,Milnpark Trading Estate,GLASGOW,G41 1SB,Office/Workshop,B1 Offices and Workshop businesses,550,60,D,60.3,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"55,000.00",55,0.06
,Unit 1B,GLASGOW,G41 1SB,Office/Workshop,Offices and Workshop businesses,180,48,D+,47.64,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"18,000.00",18,0.02
Unit 3E,Milnpark Trading Estate,Glasgow,G41 1SB,Storage/Distribution,Storage or Distribution,496,48,D+,47.62,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"14,880.00",14.88,0.01
Unit 3D,Milnpark Trading Estate,GLASGOW,G41 1SB,Office/Workshop,Offices and Workshop businesses,520,75,E,74.66,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"62,400.00",62.4,0.06
,14 LAMBHILL QUADRANT,GLASGOW,G41 1SB,Storage/Distribution,Storage or Distribution,508,52,D+,51.79,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"15,240.00",15.24,0.02
"Units 2B,C and D",Milnpark Trading Estate,Glasgow,G41 1SB,Storage/Distribution,Storage or Distribution,1964,60,D,59.63,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"58,920.00",58.92,0.06
Unit 1C,Milnpark Trading Estate,GLASGOW,G41 1SB,Office/Workshop,Offices and Workshop businesses,282,57,D,56.95,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"28,200.00",28.2,0.03
Unit 3F Milnpark Trading Estate,,GLASGOW,G41 1SB,General Industrial,General Industrial and Special Industrial Groups,598,77,E,76.99,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"71,760.00",71.76,0.07
