ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
STV STUDIOS,120 GOVAN ROAD,GLASGOW,G51 1PQ,Office/Workshop,Offices and Workshop businesses,6867,14,A,13.83,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"206,010.00",206.01,0.21
4 Pacific Quay,,Glasgow,G51 1PQ,Office/Workshop,Offices and Workshop businesses,7621,44,C,44.05,None,Grid supplied,Natural Gas,Mixed-mode with Mechanical Ventilation,,"914,520.00",914.52,0.91
UNIT 4000 ACADEMY PARK,51 GOWER STREET,GLASGOW,G51 1PR,Office/Workshop,B1 Offices and Workshop businesses,398,55,D,55.2,Other non-calculated,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"39,800.00",39.8,0.04
"Building 4000, 1st Floor, Academy Park",51 Gower Steet,Glasgow,G51 1PR,Office/Workshop,Offices and Workshop businesses,187,35,C+,34.61,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"15,895.00",15.9,0.02
UNIT 11000 ACADEMY PARK,51 GOWER STREET,GLASGOW,G51 1PR,Office/Workshop,Offices and Workshop businesses,729,45,C,45.32,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"87,480.00",87.48,0.09
"Building 9000, 1st Floor, Academy Park",51 Gower Steet,Glasgow,G51 1PR,Office/Workshop,Offices and Workshop businesses,364,34,C+,33.66,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"30,940.00",30.94,0.03
UNIT 5000 ACADEMY PARK,51 GOWER STREET,GLASGOW,G51 1PR,Office/Workshop,B1 Offices and Workshop businesses,396,55,D,54.8,Other non-calculated,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"39,600.00",39.6,0.04
Unit 8000,51 Gower Street,Glasgow,G51 1PR,Office/Workshop,B1 Offices and Workshop businesses,724,48,D+,47.73,Other non-calculated,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"72,400.00",72.4,0.07
11 NORTH GOWER STREET,,GLASGOW,G51 1PW,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,57,282,G,281.65,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"6,840.00",6.84,0.01
454 PAISLEY ROAD WEST,,GLASGOW,G51 1PX,Retail/Financial,Retail/Financial and Professional services,55,179,G,178.9,None,Grid supplied,Grid Supplied Electricity,Heating and Mechanical Ventilation,,"6,600.00",6.6,0.01
478 PAISLEY ROAD WEST,,GLASGOW,G51 1PX,Retail/Financial,Retail/Financial and Professional services,102,25,B,25.01,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"5,610.00",5.61,0.01
,423  Paisley Road West,Glasgow,G51 1PZ,Office/Workshop,B1 Offices and Workshop businesses,2923,68,E+,68.1,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"350,760.00",350.76,0.35
Bellahouston Business Centre,423 Paisley Road West,Glasgow,G51 1PZ,Office/Workshop,Offices and Workshop businesses,3437,43,C,42.63,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"412,440.00",412.44,0.41
425 Paisley Road West,,Glasgow,G51 1PZ,General Assembly/Leisure,D2 General Assembly and Leisure plus Night Clubs and Theatres,1009,43,C,43.17,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"121,080.00",121.08,0.12
675 Paisley Road West,,Glasgow,G51 1RP,Retail/Financial,Retail/Financial and Professional services,318,18,B+,17.68,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"17,490.00",17.49,0.02
517 PAISLEY ROAD WEST,,GLASGOW,G51 1RW,Hotel,Hotels,5580,179,G,178.74,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"669,600.00",669.6,0.67
Modular Classroom Riverside Primary School,Govan Campus,Glasgow,G51 2AQ,Education,D1 Non-residential Institutions - Education,142,25,B,24.66,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"7,810.00",7.81,0.01
Unit A and B,60 Dava Street,Glasgow,G51 2BQ,Storage/Distribution,Storage or Distribution,1422,74,E,74.05,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"42,660.00",42.66,0.04
Unit C,60 Dava Street,Glasgow,G51 2BQ,Storage/Distribution,Storage or Distribution,545,72,E,71.65,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"16,350.00",16.35,0.02
"Unit E,F and G",60 Dava Street,Glasgow,G51 2BQ,Storage/Distribution,Storage or Distribution,1752,51,D+,51.35,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"52,560.00",52.56,0.05
10 DAVA STREET,,GLASGOW,G51 2BQ,Storage/Distribution,Storage or Distribution,3197,43,C,43.39,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"95,910.00",95.91,0.1
Unit D,60 Dava Street,Glasgow,G51 2BQ,Storage/Distribution,Storage or Distribution,946,72,E,72.07,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"28,380.00",28.38,0.03
Cartvale Nursery,Vicarfield Street,Glasgow,G51 2DJ,Education,Non-residential Institutions: Education,417,10,A,9.66,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"12,510.00",12.51,0.01
