ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
Unit 13 Govan Cross Shopping Centre,795 Govan Road,Glasgow,G51 3JW,Retail/Financial,Retail/Financial and Professional services,57,74,E,74.33,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"6,840.00",6.84,0.01
Unit 21-22 Govan Cross Shopping Centre,795 Govan Road,Glasgow,G51 3JW,Retail/Financial,Retail/Financial and Professional services,595,36,C+,36.16,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"50,575.00",50.58,0.05
Govan Cross Shopping Centre,795 Govan Road,Glasgow,G51 3JW,Retail/Financial,Retail/Financial and Professional services,5632,100,F,100.45,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"675,840.00",675.84,0.68
UNIT 2 GOVAN CROSS SHOPPING CENTRE,795 GOVAN ROAD,GLASGOW,G51 3JW,Retail/Financial,Retail/Financial and Professional services,111,25,B,24.98,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"6,105.00",6.11,0.01
Unit 18,Govan Cross Centre,Glasgow,G51 3JW,Retail/Financial,A1/A2 Retail and Financial/Professional services,198,161,G,161.45,None,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"23,760.00",23.76,0.02
Offices,779 Govan Road,Glasgow,G51 3JY,Office/Workshop,Offices and Workshop businesses,1930,57,D,57.41,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"193,000.00",193,0.19
99 HELEN STREET,,GLASGOW,G51 3LH,Office/Workshop,Offices and Workshop businesses,4296,6,A+,6.29,Heat pumps,Grid supplied,Grid Supplied Electricity,Heating and Mechanical Ventilation,,"128,880.00",128.88,0.13
8 Harmony Square,,Glasgow,G51 3LW,General Assembly/Leisure,"General Assembly and Leisure, Night Clubs, and Theatres",718,63,E+,63.28,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"86,160.00",86.16,0.09
19 NETHAN STREET,,GLASGOW,G51 3LX,Community/Day Centre,Non-residential Institutions: Community/Day Centre,642,38,C,37.67,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"77,040.00",77.04,0.08
165 CROSSLOAN ROAD,,GLASGOW,G51 3NR,Retail/Financial,Retail/Financial and Professional services,97,74,E,74.47,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"11,640.00",11.64,0.01
199 CROSSLOAN ROAD,,GLASGOW,G51 3QD,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,43,351,G,351.36,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"5,160.00",5.16,0.01
170 CROSSLOAN ROAD,,GLASGOW,G51 3QG,Retail/Financial,Retail/Financial and Professional services,85,81,F+,80.53,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"10,200.00",10.2,0.01
71 CRAIGTON ROAD,,GLASGOW,G51 3RB,Storage/Distribution,Storage or Distribution,1232,91,F,91.43,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"36,960.00",36.96,0.04
65 CRAIGTON ROAD,,GLASGOW,G51 3RB,General Industrial,General Industrial and Special Industrial Groups,475,66,E+,66.45,Photovoltaics,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"57,000.00",57,0.06
15 Skipness Drive,,Glasgow,G51 3RJ,Retail/Financial,A1/A2 Retail and Financial/Professional services,37,125,G,124.53,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"4,440.00",4.44,0
380 Helen Street,Goven,Glasgow,G51 3RN,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,392,238,G,237.75,Heat pumps,Grid supplied,Natural Gas,Air Conditioning,,"47,040.00",47.04,0.05
70 Nimmo Dr,,Glasgow,G51 3SG,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,2169,129,G,129.22,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"325,350.00",325.35,0.33
20 NIMMO DRIVE,,GLASGOW,G51 3SX,Office/Workshop,Offices and Workshop businesses,571,159,G,158.72,Heat pumps,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"68,520.00",68.52,0.07
4 Craigton Road,,Glasgow,G51 3TB,Primary Healthcare Building,Non-residential Institutions: Primary Health Care Building,101,33,C+,33.42,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"9,595.00",9.6,0.01
818 GOVAN ROAD,,GLASGOW,G51 3UP,Retail/Financial,Retail/Financial and Professional services,302,34,C+,34.2,Heat pumps,Grid supplied,Grid Supplied Electricity,Heating and Mechanical Ventilation,,"25,670.00",25.67,0.03
816 Govan Road,,Glasgow,G51 3UP,Retail/Financial,Retail/Financial and Professional services,312,36,C+,36.22,Heat pumps,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"26,520.00",26.52,0.03
STOREY 1/1,1 WATER ROW,GLASGOW,G51 3UW,Primary Healthcare Building,Non-residential Institutions: Primary Health Care Building,142,37,C+,36.93,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"13,490.00",13.49,0.01
246 Langlands Road,,Glasgow,G51 4AJ,Primary Healthcare Building,Non-residential Institutions: Primary Health Care Building,160,128,G,128.1,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"24,000.00",24,0.02
60 DRUMOYNE ROAD,,GLASGOW,G51 4AU,Retail/Financial,Retail/Financial and Professional services,109,27,B,26.95,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"5,995.00",6,0.01
PIRIE PARK PRIMARY SCHOOL,337 LANGLANDS ROAD,GLASGOW,G51 4AW,Education,D1 Non-residential Institutions - Education,3636,43,C,43.25,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"436,320.00",436.32,0.44
ST CONSTANTINES PRIMARY SCHOOL,45 DRUMOYNE ROAD,GLASGOW,G51 4AX,Education,Non-residential Institutions: Education,2963,37,C+,36.97,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"251,855.00",251.86,0.25
