,,,SCHOOL,,,,,
,,,,,,,,
CC0307,,SOSO0703,BATTLEFIELD PRIMARY,No change,,,,
,,,SCHOOL,,,,,
,,,,,,,,
CC0407,,SOSO0704,CATHCART,No change,,,,
,,,CONGREGATONAL,,,,,
,,,CHURCH HALL,,,,,
CC0507,,SOSO0705,MOUNT FLORIDA,No change,,,,
,,,PRIMARY SCHOOL,,,,,
,,,,,,,,
CC0607,,SOSO0706,ST HELENS CHURCH,No change,,,,
,,,HALL,,,,,
CC0707,,SOSO0707,NEWLANDS SOUTH,No change,,,,
,,,CHURCH HALL,,,,,
,,,,,,,,
CC0807,CC0907,SOSO0708,KING'S PARK PRIMARY,No change,,,,
,,,SCHOOL,,,,,
,,,,,,,,
CC0907,CC0807,,,,,,,
,,,,,,,,
CC1007,,SOSO0709,NEWLANDS SOUTH,No change,,,,
,,,CHURCH HALL,,,,,
,,,,,,,,
SS1607,,SOSO0710,ST BRIGID'S PRIMARY,No change,,,,
,,,SCHOOL,,,,,
EXISTING,PROPOSED,CURRENT POLLING,PROPOSED,,,,,
POLLING,NEW,PLACE,CHANGE TO,,,,,
DISTRICT,POLLING,,POLLING,,,,,
,DISTRICT,,PLACE,,,,,
,NAME,,,,,,,
SS1408,SOEA0801,HOLYROOD,No change,,,,,
,,SECONDARY,,,,,,
,,SCHOOL,,,,,,
SS1508,SOSO0801,ST BRIDE'S PRIMARY,No change,,,,,
,,SCHOOL,,,,,,
,,,,,,,,
SS1708,CEEA0801,THE BARN YOUTH,No change,,,,,
,,CENTRE,,,,,,
SS1808,SOEA0802,ST FRANCIS',No change,,,,,
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
SS1908,SOEA0803,BLACKFRIARS,No change,,,,,
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
SS2008,SOEA0804,ANNETTE STREET,No change,,,,,
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
SS2108,SOEA0805,ST FRANCIS',No change,,,,,
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
SS2208,SOEA0806,HOLY CROSS,No change,,,,,
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
SS2308,SOEA0807,NEW GORBALS,No change,,,,,
,,HOUSING ASSOC,,,,,,
,,WARDEN COMMUNAL,,,,,,
,,RM,,,,,,
SS2408,SOEA0808,ST BRIDE'S PRIMARY,No change,,,,,
,,SCHOOL,,,,,,
,,,,,,,,
EXISTING,POLLING,PROPOSED,CURRENT POLLING,PROPOSED,PROPOSED,,,
POLLING,DISTRICT,NEW,PLACE,CHANGE TO,CHANGE TO,,,
DISTRICT,MERGE,POLLING,,POLLING,POLLING,,,
,WITH,DISTRICT,,PLACE,PLACE,,,
,,NAME,,,,,,
SH1009,,CEEA0901,CALTON HERITAGE,No change,,,,
,,,& LEARNING,,,,,
,,,CENTRE,,,,,
SH1109,,CEEA0902,BRIDGETON,No change,,,,
,,,LIBRARY,,,,,
SH1209,,CEEA0903,ST ANNE'S,CROWNPOINT,After,,,
,,,PRIMARY SCHOOL,SC (submitted,consideration,,,
,,,,during,"of comments,",,,
,,,,consultation),move to,,,
,,,,(0.3m),CROWNPOINT,,,
,,,,,SC,,,
SH1309,,CEEA0904,ST ANNE'S,CROWNPOINT,After,,,
,,,PRIMARY SCHOOL,SC (submitted,consideration,,,
,,,,during,"of comments,",,,
,,,,consultation),move to,,,
,,,,(0.3m),CROWNPOINT,,,
,,,,,SC,,,
SH1409,,CEEA0905,ST ANNE'S,CROWNPOINT,After,,,
,,,PRIMARY SCHOOL,SC (submitted,consideration,,,
