OSG_REFERENCE_NUMBER,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,BUILDING_EMISSIONS,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,APPROXIMATE_ENERGY_USE,LOCAL_AUTHORITY,CONSTITUENCY,TARGET_EMISSIONS
9.067E+11,STOREY GROUND,5 SOMERSET PLACE,GLASGOW,G3 7JT,78.09,Grid supplied,Natural Gas,192,00QS,00QSMK,20.51
,9 Somerset Place,,Glasgow,G3 7JT,56.38,Grid supplied,Natural Gas,177,00QS,00QSMK,12.88
,2 Clifton Street,,Glasgow,G3 7LA,71.72,Grid supplied,Natural Gas,225,00QS,00QSMK,15.78
9.067E+11,SUITE 1/2,2 CLIFTON STREET,GLASGOW,G3 7LA,83.82,Grid supplied,Natural Gas,310,00QS,00QSMK,22.21
9.067E+11,4 Clifton Street,,Glasgow,G3 7LA,87.71,Grid supplied,Natural Gas,268,00QS,00QSMK,29.84
,Clifton House,1 Clifton Place,Glasgow,G3 7LD,49.83,Grid supplied,Natural Gas,253,00QS,00QSMK,32.1
,Clifton House,1-7 Clifton Place,Glasgow,G3 7LN,74.32,Grid supplied,Natural Gas,360,00QS,00QSMK,25.87
9.067E+11,11 Clairmont Gardens,,Glasgow,G3 7LW,60.8,Grid supplied,Natural Gas,192,00QS,00QSMK,14.61
,4 Clairmont Gardens,,Glasgow,G3 7LW,28.59,Grid supplied,Natural Gas,155,00QS,00QSMK,10.14
,7 Clairmont Gardens,,Glasgow,G3 7LW,76.54,Grid supplied,Natural Gas,203,00QS,00QSMK,17.28
9.067E+11,12 Sandyford Place,,Glasgow,G3 7NB,65.77,Grid supplied,Natural Gas,205,00QS,00QSMK,30.81
9.067E+11,14 SANDYFORD PLACE,,GLASGOW,G3 7NB,46.46,Grid supplied,Natural Gas,179,00QS,00QSMK,22.41
,13 Sandyford Place,,Glasgow,G3 7NB,67.25,Grid supplied,Natural Gas,194,00QS,00QSMK,18
,2nd and 3rd Floor,8 Sandyford Place,Glasgow,G3 7NB,66.63,Grid supplied,Natural Gas,195,00QS,00QSMK,16.52
,1st Floor,8 Sandyford Place,Glasgow,G3 7NB,59.41,Grid supplied,Natural Gas,157,00QS,00QSMK,17.25
9.067E+11,FLAT 0/1,11 SANDYFORD PLACE,GLASGOW,G3 7NB,48.86,Grid supplied,Natural Gas,132,00QS,00QSMK,16.39
,223 Sandyford Place,,Glasgow,G3 7NG,155.13,Grid supplied,Natural Gas,428,00QS,00QSMK,78.61
,45690,27 Sandyford Place,Glasgow,G3 7NG,128.16,Grid supplied,Natural Gas,348,00QS,00QSMK,48.12
9.067E+11,15 ROYAL TERRACE,,GLASGOW,G3 7NY,20.56,Grid supplied,Natural Gas,113,00QS,00QSMK,4.36
