OSG_REFERENCE_NUMBER,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,BUILDING_EMISSIONS,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,APPROXIMATE_ENERGY_USE,LOCAL_AUTHORITY,CONSTITUENCY,TARGET_EMISSIONS
,JD Kelly Building,121 Hill Street,Glasgow,G3 6TY,81.66,Grid supplied,Natural Gas,410,00QS,00QSMK,13.04
,Stewart House,123 Elderslie Street,Glasgow,G3 7AR,72.82,Grid supplied,Natural Gas,301,00QS,00QSMK,43.45
9.067E+11,THE MITCHELL LIBRARY,201 NORTH STREET,GLASGOW,G3 7DN,26.13,Grid supplied,Natural Gas,137,00QS,00QSMK,5.87
,First Floor,32 Granville Street,Glasgow,G3 7DR,83.85,Grid supplied,Natural Gas,273,00QS,00QSMK,22.07
9.06701E+11,Storey Basement,40a Berkeley Street,Glasgow,G3 7DW,131.91,Grid supplied,Natural Gas,333,00QS,00QSMK,20.61
,Basement and Ground Floor,81 Berkeley Street,Glasgow,G3 7DX,56.63,Grid supplied,Natural Gas,302,00QS,00QSMK,6.09
,First Floor,100 Berkeley Street,Glasgow,G3 7HU,44.33,Grid supplied,Natural Gas,108,00QS,00QSMK,12.76
9.067E+11,STOREY GROUND,5 SOMERSET PLACE,GLASGOW,G3 7JT,78.09,Grid supplied,Natural Gas,192,00QS,00QSMK,20.51
9.067E+11,SUITE 1/2,2 CLIFTON STREET,GLASGOW,G3 7LA,83.82,Grid supplied,Natural Gas,310,00QS,00QSMK,22.21
,Clifton House,1 Clifton Place,Glasgow,G3 7LD,49.83,Grid supplied,Natural Gas,253,00QS,00QSMK,32.1
,Clifton House,1-7 Clifton Place,Glasgow,G3 7LN,74.32,Grid supplied,Natural Gas,360,00QS,00QSMK,25.87
,2nd and 3rd Floor,8 Sandyford Place,Glasgow,G3 7NB,66.63,Grid supplied,Natural Gas,195,00QS,00QSMK,16.52
,1st Floor,8 Sandyford Place,Glasgow,G3 7NB,59.41,Grid supplied,Natural Gas,157,00QS,00QSMK,17.25
9.067E+11,FLAT 0/1,11 SANDYFORD PLACE,GLASGOW,G3 7NB,48.86,Grid supplied,Natural Gas,132,00QS,00QSMK,16.39
